Clapeyron Database File,,,,,
ChapmanEnskogYang2021 Like Parameters,,,,,
species,Mw,epsilon,sigma,source
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",164.056,352.97,5.58,10.1007/s10765-022-03096-9
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",102.03,288.82,5.06,10.1007/s10765-022-03096-9
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,88.004,164.44,4.54,10.1007/s10765-022-03096-9
"r141b~|~1,1-dichloro-1-fluoroethane",116.95,370.44,5.49,10.1007/s10765-022-03096-9
"r142b~|~1-chloro-1,1-difluoroethane",100.49,278.2,5.36,10.1007/s10765-022-03096-9
"r143a~|~1,1,1-trifluoroethane",84.04,301.76,4.83,10.1007/s10765-022-03096-9
"dichloroethane~|~1,2-dichloroethane",98.9592,445.96,4.96,10.1007/s10765-022-03096-9
"r152a~|~difluoroethane~|~1,1-difluoroethane",66.05,354.84,4.61,10.1007/s10765-022-03096-9
r161~|~fluoroethane~|~ethyl fluoride,48.059999999999995,320.39,4.46,10.1007/s10765-022-03096-9
r21~|~chfcl2~|~dichlorofluoromethane,102.92,358.6,4.7,10.1007/s10765-022-03096-9
r218~|~perfluoropropane~|~octafluoropropane,188.01999999999998,266.35,5.8,10.1007/s10765-022-03096-9
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,86.47,284.724,4.67,10.1007/s10765-022-03096-9
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",170.02999999999997,289.34,5.75,10.1007/s10765-022-03096-9
r23~|~fluoroform~|~trifluoromethane,70.01400000000001,243.91,4.28,10.1007/s10765-022-03096-9
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",152.04000000000002,318.33,5.6,10.1007/s10765-022-03096-9
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",152.04000000000002,307.24,5.64,10.1007/s10765-022-03096-9
"r245ca~|~1,1,2,2,3-pentafluoropropane",134.05,355.41,5.13,10.1007/s10765-022-03096-9
"r245fa~|~1,1,1,3,3-pentafluoropropane",134.05,259.89,5.85,10.1007/s10765-022-03096-9
r32~|~difluoromethane,52.023,289.65,4.1,10.1007/s10765-022-03096-9
"r365mfc~|~1,1,1,3,3-pentafluorobutane",148.07,365.28,5.49,10.1007/s10765-022-03096-9
r40~|~chloromethane~|~methyl chloride,50.49,330.6,4.19,10.1007/s10765-022-03096-9
r41~|~fluoromethane~|~methyl fluoride,34.033,244.88,4.12,10.1007/s10765-022-03096-9
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,200.03,308.41,5.55,10.1007/s10765-022-03096-9
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,100.0398,300.104,4.85,10.1007/s10765-022-03096-9
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",150.04734,621.0,8.7,10.1007/s10765-022-03096-9
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",150.04734,353.28,5.36,10.1007/s10765-022-03096-9
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",200.05484,347.57,5.87,10.1007/s10765-022-03096-9
sulfur hexafluoride,146.06,222.1,5.13,10.1007/s10765-022-03096-9
sulfur dioxide,64.07000000000001,363.0,4.03,10.1007/s10765-022-03096-9
(e)-2-butene~|~trans-2-butene,56.11,259.0,5.51,10.1007/s10765-022-03096-9
toluene,92.14,469.9,5.51,10.1007/s10765-022-03096-9
chloroethene~|~vinyl chloride,62.49822,337.46,4.55,10.1007/s10765-022-03096-9
water,18.015,809.1,2.64,10.1007/s10765-022-03096-9
xenon,131.29,300.0,3.297,10.1007/s10765-022-03096-9
