Clapeyron Database File,,,,,
ChapmanEnskog Like Parameters,,,,,
species,Mw,epsilon,sigma,source
"methyllinoleate~|~methyl (z,z)-9,12-octadecadienate~|~(z,z)-9,12-octadecadienoic acid methyl ester",294.5,634.5,8.7,10.1007/s10765-022-03096-9
"methyllinolenate~|~methyl (z,z,z)-9,12,15-octadecatrienoate",292.5,613.04,8.55,10.1007/s10765-022-03096-9
mm~|~hexamethyldisiloxane,162.38,357.0,7.19,10.1007/s10765-022-03096-9
methyloleate~|~methyl cis-9-octadecenoate,296.5,621.0,8.7,10.1007/s10765-022-03096-9
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,270.5,599.54,8.39,10.1007/s10765-022-03096-9
methyl stearate~|~methyl octadecanoate~|~octadecanoicacidmethylester,298.5,615.42,8.74,10.1007/s10765-022-03096-9
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",106.16000000000001,489.87,5.8,10.1007/s10765-022-03096-9
nitrogen trifluoride,71.019,175.0,4.15,10.1007/s10765-022-03096-9
nonane~|~n-nonane,128.25,472.127,6.64,10.1007/s10765-022-03096-9
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",316.0444,350.8,6.51,10.1007/s10765-022-03096-9
octane~|~n-octane,114.23,452.09,6.36,10.1007/s10765-022-03096-9
orthohydrogen~|~ortho-hydrogen,2.01594,0.0,0.0,10.1007/s10765-022-03096-9
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",106.16000000000001,500.48,5.82,10.1007/s10765-022-03096-9
parahydrogen~|~para-hydrogen,2.0158799999999997,59.7,2.83,10.1007/s10765-022-03096-9
*~|~poe5,NaN,706.7418,9.838,10.1007/s10765-022-03096-9
*~|~poe7,NaN,746.4464,10.87188,10.1007/s10765-022-03096-9
*~|~poe9,NaN,770.2692,11.87703,10.1007/s10765-022-03096-9
"propadiene~|~1,2-propadiene",40.06386,316.0,4.48,10.1007/s10765-022-03096-9
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",58.07914,387.6,4.68,10.1007/s10765-022-03096-9
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",106.16000000000001,489.3,5.81,10.1007/s10765-022-03096-9
r11~|~cfcl3~|~trichlorofluoromethane,137.36,363.609,5.45,10.1007/s10765-022-03096-9
r1123~|~trifluoroethene~|~trifluoroethylene,82.02455,263.4,4.45,10.1007/s10765-022-03096-9
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",187.37,376.035,6.02,10.1007/s10765-022-03096-9
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",170.92,174.0,6.48,10.1007/s10765-022-03096-9
