Clapeyron Database File,,,,,,,
RefpropRES2025_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",1.0,0.35906,-0.16616,0.038731,0.0,10.1021/acs.jced.4c00451
r11~|~cfcl3~|~trichlorofluoromethane,1.0,0.424119,-0.188906,0.04421,0.0,10.1021/acs.jced.4c00451
r1123~|~trifluoroethene~|~trifluoroethylene,1.1188,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",1.0,0.470361,-0.225442,0.054716,0.0,10.1021/acs.jced.4c00451
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",1.0,0.615057,-0.378672,0.10544,0.0,10.1021/acs.jced.4c00451
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",1.0,0.416234,-0.185289,0.044498,0.0,10.1021/acs.jced.4c00451
r116~|~perfluoroethane~|~hexafluoroethane,1.1981,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
r12~|~dichlorodifluoromethane,1.0,0.336945,-0.094121,0.011411,0.0,10.1021/acs.jced.4c00451
r1216~|~perfluoropropene~|~hexafluoropropene~|~perfluoropropylene~|~hexafluoropropylene,1.1017,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",1.0,0.146773,0.050263,-0.031134,0.0,10.1021/acs.jced.4c00451
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",1.0,0.34979,-0.135478,0.028526,0.0,10.1021/acs.jced.4c00451
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",1.0,0.3948,-0.184015,0.042551,0.0,10.1021/acs.jced.4c00451
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",1.0,0.267769,-0.055341,0.001703,0.0,10.1021/acs.jced.4c00451
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",1.0,0.307227,-0.107687,0.020815,0.0,10.1021/acs.jced.4c00451
