Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
heptane~|~n-heptane,100.2,1.208183e-6,1.000727e-8,2.803745e-11,-3.520778e-14,1.533348e-17,10.1021/acs.jced.4c00451
hexane~|~n-hexane,86.18,-2.744465e-7,2.269504e-8,-1.797771e-12,-2.234172e-15,1.640255e-18,10.1021/acs.jced.4c00451
hydrogen,2.016,4.687357e-7,3.99686e-8,-5.275629e-11,5.429131e-14,-2.134334e-17,10.1021/acs.jced.4c00451
isobutene~|~isobutylene~|~2-methylpropene,56.11,8.605774e-7,1.696199e-8,3.340335e-11,-4.268136e-14,1.593332e-17,10.1021/acs.jced.4c00451
isohexane~|~2-methylpentane,86.18,6.687101e-7,1.508132e-8,3.049451e-11,-4.286629e-14,1.828287e-17,10.1021/acs.jced.4c00451
"isooctane~|~2,2,4-trimethylpentane",114.229,9.637802e-7,1.323349e-8,1.683085e-11,-1.446543e-14,3.674661e-18,10.1021/acs.jced.4c00451
isopentane~|~methylbutane~|~2-methylbutane,72.15,6.694866e-7,1.496306e-8,3.569751e-11,-5.420363e-14,2.48418e-17,10.1021/acs.jced.4c00451
isobutane~|~2-methylpropane,58.12,-2.581768e-7,2.808468e-8,-6.999111e-12,6.551607e-16,1.082216e-18,10.1021/acs.jced.4c00451
krypton,83.8,-1.914019e-6,1.079144e-7,-6.006266e-11,1.046666e-14,9.624444e-18,10.1021/acs.jced.4c00451
md2m~|~decamethyltetrasiloxane,310.68,7.4754e-7,1.11941e-8,2.38225e-11,-2.857078e-14,1.071243e-17,10.1021/acs.jced.4c00451
md3m~|~dodecamethylpentasiloxane,384.84000000000003,7.186099e-7,1.077883e-8,2.064158e-11,-2.327126e-14,8.062772e-18,10.1021/acs.jced.4c00451
md4m~|~tetradecamethylhexasiloxane,458.99,7.081478e-7,9.953434e-9,1.894918e-11,-2.073743e-14,7.045575e-18,10.1021/acs.jced.4c00451
mdm~|~octamethyltrisiloxane,236.53,7.51635e-7,1.210899e-8,2.689911e-11,-3.410763e-14,1.3472e-17,10.1021/acs.jced.4c00451
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,61.083,1.112063e-6,1.337987e-8,2.847351e-11,-3.11277e-14,1.090405e-17,10.1021/acs.jced.4c00451
methane,16.043000000000003,-5.186945e-8,4.009096e-8,-2.253988e-13,-4.119887e-14,3.368023e-17,10.1021/acs.jced.4c00451
methanol,32.042,1.005615e-6,2.464405e-8,1.759647e-11,-8.943954e-15,-2.96604e-18,10.1021/acs.jced.4c00451
*~|~milprf23699,NaN,5.489571e-7,5.820395e-9,7.221304e-12,-5.489951e-15,1.278347e-18,10.1021/acs.jced.4c00451
"methyllinoleate~|~methyl (z,z)-9,12-octadecadienate~|~(z,z)-9,12-octadecadienoic acid methyl ester",294.5,7.937025e-7,9.06536e-9,1.437282e-11,-1.302983e-14,3.722342e-18,10.1021/acs.jced.4c00451
"methyllinolenate~|~methyl (z,z,z)-9,12,15-octadecatrienoate",292.5,8.059239e-7,9.462064e-9,1.56022e-11,-1.462899e-14,4.321699e-18,10.1021/acs.jced.4c00451
mm~|~hexamethyldisiloxane,162.38,6.489577e-7,1.303627e-8,3.713322e-11,-5.987369e-14,3.045015e-17,10.1021/acs.jced.4c00451
methyloleate~|~methyl cis-9-octadecenoate,296.5,8.003866e-7,9.16402e-9,1.510337e-11,-1.400104e-14,4.096822e-18,10.1021/acs.jced.4c00451
