T,p,eta,rho,shortref,DOI,state,s,eta_s
156.3,2.513,4.91E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.1820492535604,9.52410498350776
156.3,4.053,5.15E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.22969837191439,10.0139825375599
156.3,6.019,5.21E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.28356738239792,10.1600391278729
156.3,8.096,5.15E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.33414948771644,10.0717695161801
156.3,9.707,5.33E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.36991094655879,10.4456897127798
183,3.648,2.7E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.2815122754471,4.46725382153528
183,5.522,2.84E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.49816224517391,4.71786070241902
183,7.772,2.99E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.63385202921574,4.98866513702664
183,9.96,3.07E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.72807361322416,5.14158706446463
106.4,0.0608,0.000133,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.68797719598007,37.3847640779544
106.4,1.925,0.000135,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.71043696169627,38.0037638517159
106.4,4.033,0.000138,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.73490190795601,38.9123318135412
106.4,5.846,0.000141,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.75521612402873,39.8132012247687
106.4,7.944,0.000145,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.7779519057905,41.0065776874498
106.4,9.545,0.000149,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.79478400117482,42.1868969755174
125,0.274,9E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.07001223792275,21.7080260462363
125,3.81,9.36E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.12616969229896,22.657554939629
125,6.15,9.58E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.16045101932164,23.2423203200296
125,7.711,0.0001007,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.18223251941656,24.4666030232962
125,9.808,9.83E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,3.21027427842039,23.9287453275405
145.6,0.861,6.35E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.45324653118774,13.1945078218773
145.6,1.115,6.37E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.45989260023066,13.2408919681088
145.6,1.996,6.6E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.48219695764791,13.7359875253626
145.6,3.982,6.83E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.52877723677376,14.2525856922257
145.6,5.846,7.13E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.56865881233651,14.9137937123006
145.6,7.792,7.25E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.60709422689495,15.2004006578385
145.6,9.595,7.58E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,2.64027568592526,15.9253388047152
171.4,2.442,3.55E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.68809525148397,6.26453455799237
171.4,3.931,3.68E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.77921011170529,6.51460222238902
171.4,5.907,3.81E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.87002418496055,6.76979162626993
171.4,7.691,3.96E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.93606333481969,7.05762549782708
171.4,9.636,4.02E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.99737714924515,7.18641369672766
187.3,5.887,2.37E-05,,Hellemans et al. (1970) [A],10.1016/0031-8914(70)90013-3,L,1.37849693523337,3.84894441898679
298.15,27.68,2.34E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,0.799991194803656,2.48783571021419
298.15,41.47,3.038E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.04755649354234,3.27518255719425
298.15,55.259,3.597E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.22689300457563,3.93090266786488
298.15,69.049,4.007E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.36811114120149,4.43515554430728
273.15,20.785,2.204E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,0.792897928071198,2.5348114015764
273.15,27.68,2.657E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,0.977591235906439,3.07665115837882
273.15,41.47,3.467E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.23459483642221,4.07273945790801
273.15,55.259,4.139E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.41568987406449,4.92989418546232
273.15,69.049,4.655E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.55715881146975,5.61488069453927
248.15,20.785,2.614E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.02408952665455,3.29739856729943
248.15,27.68,3.189E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.21269774028395,4.05336771906541
248.15,41.47,4.088E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.46567091181638,5.27639214161067
248.15,55.259,4.874E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.64267255563501,6.37808201889039
248.15,69.049,5.489E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.78119721282088,7.27149996159342
222.95,13.891,2.564E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.07601738442842,3.55770235067837
