substance,Mw/(kg/mol),m0/(Pa*s),m1/(Pa*s*K⁻¹),m2/(Pa*s*K⁻²),m3/(Pa*s*K⁻³),m4/(Pa*s*K⁻⁴),ref,ref_id
"n-nonane|nonane",0.128250,7.434123e-08,1.845098e-08,-1.827300e-12,1.195641e-15,-3.694364e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"3-pentanone, 1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-|novec649",0.316044,9.962758e-07,1.892930e-08,5.898730e-11,-9.763801e-14,5.154009e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-octane|octane",0.114230,7.892226e-08,1.939146e-08,-1.723176e-12,1.046177e-15,-2.981141e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"orthohydrogen|orthohyd",0.002016,4.667537e-07,3.999143e-08,-5.283435e-11,5.439372e-14,-2.138886e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"oxygen",0.031999,2.460216e-07,8.064382e-08,-5.066000e-11,2.295820e-14,-4.100096e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"o-xylene|1,2-dimethylbenzene|1,2-xylene|oxylene",0.106160,6.094705e-06,-2.432058e-08,1.281111e-10,-1.560107e-13,6.928275e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"parahydrogen|parahyd",0.002016,4.667537e-07,3.999143e-08,-5.283435e-11,5.439372e-14,-2.138886e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-pentane|pentane",0.072150,6.217814e-07,1.408799e-08,3.674600e-11,-5.951075e-14,2.985512e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"*|poe5",NaN,6.101500e-07,6.497855e-09,8.855101e-12,-7.139657e-15,1.794975e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"*|poe7",NaN,5.201878e-07,5.515402e-09,6.674882e-12,-4.996085e-15,1.138150e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"*|poe9",NaN,4.854941e-07,5.157736e-09,5.777240e-12,-4.116278e-15,8.705574e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"allene|1,2-propadiene|propadiene",0.040064,7.882301e-07,1.771443e-08,5.704238e-11,-1.031829e-13,5.844189e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"n-propane|dimethylmethane|r290|propane",0.044100,8.356460e-21,2.684617e-08,5.310593e-12,-1.475908e-14,5.425586e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"propylene|propene|prop-1-ene|1-propene|methylethylene|methylethene|propylen",0.042080,3.506650e-07,2.288568e-08,2.867238e-11,-5.135163e-14,2.473506e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"propylene oxide|2-methyloxirane|1,2-epoxypropane|propyleneoxide",0.058079,9.100511e-07,1.705334e-08,4.363117e-11,-6.395750e-14,2.913912e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methylacetylene|prop-1-yne|propyne",0.040060,-2.982784e-07,2.887523e-08,2.037657e-11,-6.230464e-14,4.285025e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"p-xylene|1,4-dimethylbenzene|para-xylene|pxylene",0.106160,4.869340e-06,-1.415993e-08,9.604224e-11,-1.130356e-13,4.817950e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"trichlorofluoromethane|fluorotrichloromethane|rmf|r11",0.137360,1.037589e-06,2.089706e-08,5.686112e-11,-8.946433e-14,4.415465e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"trifluoroethylene|r1123",0.082025,6.272271e-07,3.363717e-08,8.126582e-11,-1.782141e-13,1.165917e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,2-trichlorotrifluoroethane|rtf|r113",0.187370,-1.937595e-07,3.709998e-08,-6.290321e-12,2.506143e-15,-5.671101e-19,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dichlorotetrafluoroethane|1,2-dichlorotetrafluoroethane|r114",0.170920,-1.781774e-06,5.862169e-08,-6.108399e-11,5.399282e-14,-2.136494e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chloropentafluoroethane|r115",0.154460,-7.348013e-07,4.750863e-08,2.334252e-12,-5.492277e-14,4.539165e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hexafluoroethane|perfluoroethane|r116",0.138010,-1.590227e-07,5.016833e-08,-1.432110e-11,9.906696e-15,-4.107178e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dichlorodifluoromethane|r12",0.120910,9.544266e-07,2.418057e-08,7.820030e-11,-1.499669e-13,8.982629e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"hexafluoropropene|hexafluoropropylene|r1216",0.150023,1.157576e-06,2.633081e-08,1.037903e-10,-2.121007e-13,1.387421e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"cis-1-chloro-2,3,3,3-tetrafluoropropene|r1224yd(z)|r1224ydz",0.148487,1.058977e-06,2.109964e-08,6.730970e-11,-1.152309e-13,6.298125e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
